"Horodateur","Quel est votre âge ?","  Combien d’heures jouez-vous par semaine ?  ","  Préférez-vous jouer :  ","  Plateforme principale  ","  Quel est votre genre de jeu préféré ?  "
"2026/05/04 5:04:01 PM UTC+3","30","20h et +","Solo","PC","Aventure"
"2026/05/04 5:26:35 PM UTC+3","32","10 à 20h","Solo","PC","Aventure"
"2026/05/04 5:27:12 PM UTC+3","24","10 à 20h","Solo","PC","Aventure"
"2026/05/04 5:30:52 PM UTC+3","49","Moins de 5h","Solo","Console","Aventure"
"2026/05/04 5:31:58 PM UTC+3","40","Moins de 5h","Solo","PC","Stratégie"
"2026/05/04 5:36:56 PM UTC+3","23","20h et +","Multijoueur","PC","FPS"
"2026/05/04 5:45:04 PM UTC+3","32","Moins de 5h","Multijoueur","PC","Sport"
"2026/05/04 5:56:17 PM UTC+3","21","5 à 10h","Multijoueur","PC","FPS"
"2026/05/04 6:08:21 PM UTC+3","23","20h et +","Multijoueur","PC","FPS"
"2026/05/04 6:34:32 PM UTC+3","16","20h et +","Multijoueur","PC","FPS"
"2026/05/04 6:51:48 PM UTC+3","31","10 à 20h","Solo","PC","RPG"
"2026/05/04 6:56:05 PM UTC+3","14","10 à 20h","Multijoueur","PC","Stratégie"
"2026/05/04 10:01:56 PM UTC+3","20","10 à 20h","Solo","PC","Aventure"
"2026/05/04 10:07:28 PM UTC+3","20","20h et +","Solo","PC","Aventure"
"2026/05/04 11:19:17 PM UTC+3","21","10 à 20h","Multijoueur","PC","Casual"
"2026/05/05 12:03:21 AM UTC+3","20","20h et +","Multijoueur","PC","FPS"
"2026/05/05 2:19:43 PM UTC+3","46","Moins de 5h","Solo","PC","Stratégie"
"2026/05/05 4:21:04 PM UTC+3","18","10 à 20h","Multijoueur","Console","Stratégie"
"2026/05/05 4:48:20 PM UTC+3","15","20h et +","Multijoueur","PC","Stratégie"
"2026/05/06 11:25:12 PM UTC+3","15","20h et +","Multijoueur","PC","FPS"
"2026/05/07 8:21:04 AM UTC+3","20","10 à 20h","Solo","Console","Aventure"
"2026/05/07 11:03:53 AM UTC+3","15","20h et +","Multijoueur","PC","FPS"
